Title,Username,Tanggal,Review
" Nolan's masterpiece, one of the best sci-fi movie
",pipoulefr,5 November 2014,
" ""We're not meant to save the world, we're meant to leave it.""
",classicsoncall,15 November 2014,"Uh-oh, here I go again. The movie's out, what, a week or so as I write this, and IMDb voters have it ranked the 11th best movie of all time!!?? If there's justice in a rational world this would never happen. But it's not a rational world anymore now, is it, when an MIT professor can be found on tape explaining how the President's signature health care law was built on lies and deceit, and the media isn't even interested in covering the story.I could rant on but what's the point. I guess if your name is Nolan, any movie that comes out with the director's fingerprints on it will be hailed as monumental. I don't have a beef with Nolan personally, I think he makes some visually fantastic films (this is one to be sure), but most of the time I think the hype precedes the product and then everyone else falls in line singing the praises.Case in point - ""Interstellar"". Nominally a sci-fi thriller, the picture devolves into something of a time travel anomaly that leaves the viewer scratching their head when hero Cooper (Matthew McConaughey) finds himself on the wrong side of the bookshelves in one of the picture's pivotal moments. I'm sitting there thinking 'this is what I came to see the movie for'? I'm not even going to start on Coop's selection to save the planet just by showing up at Professor Brand's (Michael Caine) facility. Which by the way, didn't it start out as some shack in the desert? When we get a tour of the place, it's got NASA central looking like a global conglomerate.Speaking of which, how is it NASA's still around for this massive undertaking to repatriate all of Earth's citizens to another planet? Unless I'm mistaken, NASA's primary goal now is Muslim outreach and all the best and brightest brains have farmed out. My head is starting to hurt.It was a small theater crowd last night, and I usually don't do this, but since a gentleman ahead of me held the door as I filed out, I asked him what he thought of the movie. His exact words were ""That was a piece of excrement"", only he used the more colloquially popular term for excrement. I wouldn't go that far, but if one hour in the wormhole equals seven years of Earth time, you're going to get old real fast trying to understand this picture."
" emotional Ride
",goobernatz,19 January 2023,"I've probably watched this movie for the 10th time and wanted to watch it with my mum this time. Every time I cry in this movie. I'm 31 years old and I fall for it everytime. Probably one of the most beautiful movies ive ever seen in my life. Mathew and anne put on the performances of their lives while engaging the audience at every corner in the movie. 3 hours is a long time for a movie to run for yet by the end of the credits your yearning for more and wishing it wasn't ending. This still ranks as one of the best movies I've ever seen and I don't think that will change anytime soon. Special, enthralling, epic and just perfect in every way."
" A Love Story Against The Backdrop Of A Grand Interstellar Travel
",gstards,4 November 2014,
" Good, but Overrated
",framptonhollis,29 August 2015,
" Disappointing
",rubenm,11 November 2014,"So, did I get this right? The essence of time-space relativity is that you're able to see a younger version of yourself from behind a bookcase, and shout in vain that you shouldn't do what you're about to do? Yes, that's how silly this movie is. 'Interstellar' is supposed to be a film exploring Einstein's relativity theory. It shows how space travelers enter a 'wormhole' to find new planets where they can find a future for mankind, which is suffering from heat, drought and hunger on planet Earth. By doing so, they enter a parallel time frame where one hour equals seven years on earth. The problem is that the film is tackling this subject in such a clumsy way that it makes you laugh rather than anything else. Take the robots that assist the space travelers during their voyage through time and space. Are we really to believe that thinking computers in the future would take the form of clunky metal boxes, assembled in such a way that they can walk on two legs? I would suppose an intelligent operating system for a smart phone or iPad would be much more convenient. In that respect, 'Her' was much more realistic. I could go on. How about a top scientist saying things like: 'Only love transcends time and space, so why don't we put our trust in that?' Or how about handing the command of the space ship that's supposed to save the human race to a farmer who finds the secret launching pad by coincidence? And how about the only woman in the crew being in love with another space traveler who is lost somewhere on another planet? Apart from this, there are several other things about this film I didn't like. The over-the-top soundtrack, filled with some sort of church organ music. The artificial dialogues, mostly intended to explain unexplainable things. The numerous melodramatic and tear-jerking scenes. The subtle message that love is superior to science. The countless scenes of the space ship shuddering and rattling, as if it were a Boeing flying through a patch of turbulence. I had hoped this big budget production by a talented director like Christopher Nolan could appeal to non sci-fi fans like me. But I was disappointed."
" This is a movie you want to tell everyone about but no matter what you say it's just not enough. Christopher Nolan is a genius
",cosmo_tiger,16 November 2014,
" Man and boundless space.
",M4XB0X,9 November 2023,"Again, the genius Nolan at work offers us a space expedition through a wormhole in search of a new planet to which to transfer the Earth's population. An ingenious mix of shots and soundtrack make this film a milestone for ""space"" films. The feeling of detachment from earthly reality is masterfully rendered both by the settings and by the interpretation of Matthew McConaughey, now an experienced interpreter of controversial human nature. The cast overall is truly impressive, ranging from the director's faithful like Michael Caine to Jessica Chastain, Anne Hathaway, Casey Affleck and Matt Damon. Don't go meekly into that good night..."
" Why tack on an ending where everything works out perfectly?!
",planktonrules,22 February 2015,"The first 80-90% of ""Interstellar"" I absolutely loved and was prepared to give this movie a 10. Sadly, the ending inexplicably had an ending that didn't make a lot of sense and only seemed there in order to tack on a nice Hollywood ending and wrap everything up perfectly. It's sad, but apparently the public embraced this sort of ending...so who am I to complain?!As for the film, there are a bazillion reviews so I will be brief. The film has incredible special effects and is a film best seen in the movie theater. On a HUGE screen at home, it would still lose something. Like the wonderful ""Gravity"", it just needs the big screen...trust me with this. The story is exceptional and offers many wonderful twists (up until the disappointing ending that is) and there are a lot of wonderful performances. Overall, the good certainly outweighs the bad and it's a film to see. But as for me, an ending with more sadness and vagueness would have been okay."
" Good for a one time watch
",lavaside-60237,6 July 2023,
" Sci-Fi with a Big Heart
",3xHCCH,6 November 2014,
" What a massive disappointment
",Balthazar-5,13 November 2014,"Though I am not a Bat-person, and do not wish to become one, I have admired Christopher Nolan for his early films and 'Inception', though, with the exception of 'Insomnia', I always regarded them as, in the immortal words of Andrew Sarris 'less than meets the eye'. I do not like to call films pretentious, but with 'Memento' and 'Inception' the word certainly came to mind. They seemed shallow pretending to be deep.The same is, in my opinion, certainly true of 'Interstellar'. Yes, it carries you along for a ride, and yes the special effects are great, and yes, it might give us pause to think what will, in fact, be the destiny of our species. But, my dear Mr Nolan, surely you must realise that our species will not survive by planting American flags on distant planets. And, like 'Gravity' before it, the search for a happy ending has totally destroyed any shred of credibility of what might have gone before. The image of Cooper floating around Saturn without his spaceship, waiting to be picked up by a passing probe (just before his oxygen runs out, of course) is so ridiculous that if Stanley Kubrick were to be told that it is a respectful reference to the 'starchild' at the end of '2001', he'd punch you in the nose. 'Interstellar' - for all of its attempts to incorporate relativistic time dilation and very clever (I do not use that word in a derogatory sense) visual representation of multi-dimensional string theory towards the end, is void of any real cultural insight.The film simply extends 'The Wizard of Oz' into the space age and decides at the end that there is really somewhere better than home. It is TOSH! Great films tell us something memorable about the human condition, or the nature of cinema itself. This film, for all its quotes from Dylan Thomas does neither. It is for people who think that the word 'awesome' has some profound meaning and not, as is the case, an excuse for not finding a more appropriate and restrained reaction. Any suggestion that it deserves a Best Picture Oscar is a sad comment on the way that those awards have become debased in recent years."
" Visually stunning
",hoodkevin-03831,1 November 2023,"Interstellar is a interesting film that questions the time in space in our reality a film that is straight up visually impressive The story is kind of odd but it's still worth in this type of film ever since I saw this movie I've been wondering what's up in space what type of life we can live on space and how is humans can evolve it the only thing that I did not really like was the main character being very one dimensional, but other than that this has a very good premise, and they will pay the movie that has a very good set up and pay off real well the performance was very very good and direction was... well it's Christopher Nolan 8.5/10."
" Combining ENTER THE VOID, THE LAST MIMSEY and .. GENESIS
",A_Different_Drummer,23 January 2015,
" Has Its' Flaws But Still Found it Pretty Awesome
",larrys3,3 April 2015,"At over 2100 reviews at the time of this writing, I guess there's nothing left to be said other than my opinion.I'd probably need a PhD in Physics from MIT to understand half of the technological terms in the movie, but I still found it to be rather awesome. After reading some of the reviews here, I think a lot of people are taking this sci-fi fantasy tale way too seriously and literally.Christopher Nolan's latest, which he co-wrote as well with his brother Jonathan, at 2 hrs and 48 min in length, can be ridiculously absurd one moment then quickly turn into riveting action the next.Matthew McConaughy and Anne Hathaway lead a long list of screen notables here, too numerous to mention. I did want to mention that I thought Mackenzie Foy, as Murph, the 10-year-old daughter of McConaughy was terrific in her role.I thought the musical score here was excellent, the wit and humor of the robot TARS (Bill Irwin) was on target. the special effects could be rather hokey at times but then other times were amazing, and the movie did contain a number of twists and turns which I liked.All in all, despite its' drawbacks I found this sci-fi fantasy to be a rather awesome and epic ride."
" Mankind Achievement
",AhmadAlRubaie84,6 October 2019,THIS IS A MANKIND ACHIEVEMENT.THE BEST MOVIE EVER MADE.IS ANYONE HAS DOUBT?
" Pretty Pictures do not make up for the lack of story
",craig-340-777546,20 May 2015,
" As a father...
",stahlrattede,2 October 2023,"The father-daughter relationship of Interstellar is often overseen, yet Nolan did an extraordinary job in this domain with Matthew McConaughey perfectly executing it. As a father who has a daughter, I'm deeply impressed how Nolan touched on this subject every time I rewatch it. It's so deep, it almost gives an ideal blueprint of how to connect with your kids on an emotional and intellectual level, and how to be the right parent for them. Any father, especially with a daughter, would understand what I mean! :) It's pure gold.I have a very close relationship with my little daughter, we are best friends, in some way similar to that of Interstellar, and I've always tried to prioritize it, but I find myself always learning something new from Cooper and Murph.As a huge sci-fi fan, I'll even completely ignore the sci-fi part in this review! :))"
" A Dumbing Down Experience
",westsideschl,20 April 2015,
" Dissymmetries, sight
",tedg,14 December 2014,"The good news that we have the brothers reunited and again working on circular narrative. Again, we have a powerful narrative arc that shifts in unexpected and engages in expected ways.The device is hackneyed: messages from the future, but is handled deftly. Where it is clumsy, we are competently distracted by narrative and visual process. The love story that drives this is novel enough to not fall into one of the three formulas commonly used for 'love,' (despite McConaughey) or two for father-rescues-daughter. We have a chosen child who saves the world by supernatural intervention, but again, this doesn't distract. These accomplishments alone make this worth experiencing because many devices are used to reset our expectations from formulas. Some fail horribly and that keeps this film from my absolute essential viewing list; I'll get to those in a moment. But all that are under the control of the filmmaker are so well considered that they bear mention.Take, for example the visual setting. The story itself is about the folding of time, but in a subtle way. The time of the story is in the future, but the setting is in the past. We refer to the dustbowl. All the cars, buildings, clothes and verbal expressions are vaguely from that era. We never see a brand that would pin down the time.More powerfully, the film itself is made as a science fiction film would be in the 50s-60s, using notions and tropes from that era. The robot is from ""Forbidden Planet."" The notion that a world-saving enterprise rests on the mathematical attempts of one man alone. That a vast enterprise is actually secret and located in one spot, with no suppliers. That construction of a spaceship requires welding sparks. That a heavy lift launch can occur in a building.Look at the computer screens. Nearly all are commandline interfaces. The switches and control panels are from the DEW line era. They haven't managed to use legacy fonts in the signage, but it looks like they avoided the most obvious: helvetica.Even the drone is a currently obsolete model. Underscoring all this is setting the film in Texas. Malick, and before him Bogdanovich, Hooper, Welles exploited the fact that Texas lives in two eras, sucking riches from the present while defining itself in some fictitious and better past.The film is also clearly in a future, after antiscience politicians have written technology out of the textbooks, denying the moon landing and forcing something named NASA underground. The ambiguity of time is conveyed subconsciously and works. I think they used some recorded interviews from the actual dustbowl era.But the flaw, the underlying decay in this film is in who they relied on for the science. They clearly separated the science of the adopted genre (noted above) from the science used in the actual extraterrestrial events. They chose renown physicist Kip Thorne as their authority.The man is an important scientist and reportedly very engaging. But the world of such scientists is divided between those who believe in the primary eminence of geometry and those who believe instead in ordered mechanics. This is a deep divide, highly polarized when the work gets going. Which is better for the problems at hand is irrelevant here. But which is better for cinematic depictions of encounters with the forces of the world well there is no contest and Noland chose unwisely. I may write about this. A good title may be the Carl Sagan effect.On other unrelated matters, some unresolved minor plot threads remain. The finished film exceeded the time budget for story-before-launch as it is, but we'd like to know what the reason for introducing the drone was and why it was important.A bit worse: In the film, we have a very hard won ability to send messages back in time, describing deep science from inside a black hole. I get that. But 'before' all those events, some other souls sent back messages and the physical artifact of the wormhole. Why not use that mechanism, unless the much-mentioned notion of the urges of love are essential to the bridge?"
" Good but a bit long
",AlsExGal,12 August 2018,
" Human nature as sprinkling water on plastic plants
",chaos-rampant,14 January 2015,
" Very nearly out-of-this-world
",TBJCSKCNRRQTreviews,8 November 2014,
" Nearly 50 years to go nowhere.
",greebo-01548,20 March 2022,"The premise here is relativity. Time vs gravity. The story, if there is one, is pointless. Christopher Nolan has surpassed Stanley Kubrick in making a visually stunning but ultimately pointless piece of Sci Fi nonsense. Nobody can give me a convincing explanation of 2001: A Space Odyssey, but in 1968 it was jaw dropping. Interstellar's problem is we've seen it all before, and Nolan is not Kubrick.Perhaps there is an analogy of the futility of life here, but it's spurious at best.This ranks with Prometheus as an incredibly beautiful waste of my time."
" Interstellar: How Film Can Make you Feel Adventure Again
",PostingandToasting,8 November 2014,
" Some interesting ideas, but overall unsatisfying
",cherold,13 March 2015,
" Nolan's masterpiece
",RetroRam,29 October 2023,"Fantastic premise, script, acting, production, effects, soundtrack... this film had me hooked for its entire (long) duration. A slow burner for most of its length, Interstellar gave me a feeling I don't think I've had from a film before. Simultaneously hopeless and hopeful. Sad and uplifted. The entire time I was tense, and yet couldn't tear myself from the screen.For fairness, the first time I watched this film, when it was new, I was disinterested. The difficulty I had hearing a lot of the dialogue annoyed me, and I found the whole thing to be quite pretentious. However, watching the film again later and with a fresh mind it clicked in a new way and moved me in ways I wasn't expecting."
" It's a Chris Nolan film. All style, but no substance.
",RIK-22,19 March 2015,"As you can probably ascertain from my title sentence, I am not a fan of Mr Nolan. However I don't have any bias prior to watching his films, in fact quite the opposite, I want to like his films, as I really like his ideas and concepts, which is why it's such a shame he never delivers.I also seem to be in a minority with my views as his films seem to have mass appeal, certainly if you look at money they make, but so far, they have all left me cold.Interstellar, TDK and Inception all have similar flaws: On the positive side, they are all really cinematic, stylish and well filmed. They all have really atmospheric music and nice special effects.On the negative side, the plots are terrible and make no sense. The dialog is flat and unrealistic, there is no charisma or charm in the films, they are functional and soulless and they lack any real depth or meaning. The characters tend to be robotic and cold, not warm or humorous.The problem is when you put these two elements together you basically get high expectations that something great is going to happen, but ultimately nothing does, so it becomes a major let down.On to Interstellar specifically (warning spoilers a plenty): The first hour of the film, was very boring, and very silly. The Earth is running out of food, so people still plant huge fields of crops, which they destroy when driving through them for no good reason. They have completely automated the process of farming crops, yet they don't need Scientists or Engineers, they need farmers, which makes no sense.If the Earth was starving then the crop fields would be fenced off, taken away from farmers and it would be a controlled process. Scientists and Engineers would be the most valued members of society. If the crops were so valuable they wouldn't be exposed to the elements and the dust. They would be covered and protected. Everyone is so worried about the food shortages, they don't take any notice of it. Instead they drive around in huge petrol driven SUV's from 2014 (where's the Google cars or electric cars?).Here's an idea. You now have the ability to hibernate on spaceships, so apply that to the population of Earth and reduce the need for food. Anyway let's move on.They go into space, arrive at some place and immediately land in some water. Do they survey the area first, check out the planet and landing area first in detail, nope they just land. Now I know there is time pressure, but why haven't NASA sent numerous robots into space to visit these planets and send back information.Anyway this drags on a bit, they visit another place, which is another disaster and then we get to the point of the film (only after about 2 and a half hours). Cooper flies into a black hole, where he would normally be crushed and killed instantly, but survives in some kind of advanced framework, where he very predictably sends the already sent messages back to his daughter. After this there is a very silly ending. Even though he is outside of time, as it were and he can send messages to any point, he can't for some reason stay in the same time as his daughterAnd how stupid was the 1970's Minecraft designed robot.In the end the visuals and atmospheric music was great, but the plot, soul and charm of the film was completely missing, unfortunately like all Nolan movies."
" overblown/overlong/overrated
",grumpy-3,10 November 2014,"His 4th dud in a row, a ridiculous plot, for some reason the earth is reduced to only producing corn, so no animals, birds or fish, even though the scene by a lake the water looked clean and refreshing. Seems like humanity have forgotten that we can grow things in greenhouses and even underground. never mind lets move on, once again Nolan's characters all scientists and supposedly super intelligent do the most stupid things. anne hathaway goes in the water to retrieve a large piece of debris when a large wave appears, she has on hand a robot who could lift this wreckage with one hand but does not instruct him to do so, the beardy scientist is by the spacecraft door urging her to get a move on, the wave gets nearer the robot goes and carries her to the shuttle, the beardy scientist all this while stays put just outside the door and lets the wave carry him away, just one example of quite few.the biggest plot hole is this, for some reason once cooper is past the black hole and in 5 dimensional space, he becomes super intelligient, because he now knows how to solve the problem of gravity and save mankind, how he knows this we do not know, given that he is just an engineer to be able to figure out something the greatest physicists of the last hundred years cannot is unbelievable, he then sends probably the most complicated and long equation in history to his daughter in basic morse code, anyone familiar with morse code will tell you that this would take forever. now to the film making, others have mentioned its look , well to me it looked shabby, endless shots of aircraft wings, no vistas no shots of the galaxy or stars. during both the wormhole sequence and the black hole sequence he stays on the actors in close. in fact thank God i did not see this in imax, would have been a complete waste of time. and now the noise, with hans zimmer's worst and most bombastic score , added onto very loud sound effects, with the actors shouting to be heard we came a away with very bad headaches. the end did not make any sense at all. but we have the usual nolan fan base that cannot see past their noses all going ape over this and the usual batch of critics with no critical faculties whatsover."
" A visual treat for Sci-Fi fans
",CMTiago,16 April 2015,
" Not Just A Class Apart...One of the Best 'Sci-Fi' flicks of all time!
",sohylejain,8 November 2014,
" Most overrated movie in mankind's history!
",Bento_de_Espinosa,30 January 2015,
" Sappy sentimentality and silly science
",tigerfish50,5 December 2014,
" The Emperor's New Clothes
",Wrapper30,24 November 2014,"I sent to see Interstellar on Saturday night and have just spent 45 incredulous minutes reading the reviews. The film I went to see was dull, preposterous and far far far too long. Let's start with the idea. A good one but poorly displayed. I wanted to know more about how humanity was destroying the planet. All I got was old folk I am guessing talking about the duststorms of the 1920's and 1930's? Perhaps they were attempting to lay the foundation for the whole premise of the film? I also wanted to know more about Cooper but we didn't really see how he became a farmer other than the flashback at the start. When did his wife die? Why is his father in law living with him? Did we really get to understand the relevance of the droid they chased in the truck? Unfortunately most of the film is taken up with barely audible dialogue about scientific hypothesis and personal issues intertwined together. This made it very difficult to follow and the interest wanes as a result. BUT the biggest downfall of the film is Matt Damon. I am a fan off his but not in this. He is dreadfully miscast as the villain of the piece of sorts and that whole fight with Cooper and Ryan is poor. It is just not convincing at all and there is no suspense involved in the whole docking scene at all. Cooper just tells him not to dock as he hasn't got the codes but you never felt Ryan was in jeopardy. It was so poorly constructed. Overall vey similar to Inception in that it is at times visually stunning but rather like Inception it is style over substance. Beautiful to look at but like opening a strawberry cream in a box of Quality Street - very disappointing. And the title of my review? I am just a bit fed up that Nolan has made some fine early films and now nobody will criticise him? In The Emperors New Clothes nobody tells the Emperor he is wearing nothing until a little boy informs him. Somebody needs to tell Nolan that he needs to get back to crafting films full of suspense and not a plodding sci-fi full of characters you barely care about."
" What a complete and utter waste of money
",Mork_the_Borg,14 November 2014,"This is weird... I love Science Fiction and I love astrophysics, but disliked everything about this movie. The start was extremely slow and it was hard to stay awake. The second half of the movie was somewhat better but felt like a very cheap rip-off of Space 2001. The movie just didn't do it for me at all and the acting was average. I'm totally flabbergasted that the average rating stands at 9 out of 10. Maybe audiences have lost the notion of quality, story-line, plot, acting, and uniqueness - as this movie doesn't have any of it. Ah well, I guess I'll just have to wait for the next SF movie and hope it will be somewhat better, because I am deeply disappointed by Interstellar as I expected so much more from a movie with an estimated budget of $165 million."
" The most overrated movie on IMDb right now, a complete letdown
",summerloud,19 November 2014,
" Christopher Nolan has done it again!!
",gianlucamarzano16,5 November 2014,"Intersellar. What Christopher Nolan has done so good with this movie was that he kept the plot simple,but we know that it's Christopher Nolan so it not going to be a simple movie. It's not. The overall plot is that the earth is dying so cooper(Matthew mcconaughey) and a team of scientists must go and find another place to live. The acting is great,what makes it so great is cooper and his daughter. Every time they were together it was WOW. The visuals were on another level. If you can,see it on the biggest screen possible. Some people may not like this movie because it talks a lot about science and many other things but you enjoy that, you will have a blast with this.Overall interstellar is a must see. I think it was Nolan's best film."
" Inaudible, unclear, unwatchable.
",voyou-703-655350,17 November 2014,
" NASA's version of Sophie's Choice.
",arfdawg-1,21 January 2015,
" painful and stupid
",deschreiber,21 November 2014,
" A familiar journey to the unknown, albeit a grand one
",aldamayo,4 November 2014,
" Makes three hours feel like a lifetime - awful
",BlokeWithABrainUK,21 November 2014,
" A very long piece of crap. Nolan's give us a break please !!!
",abisio,1 December 2014,"If you ever saw Kubrick's 2001 then do not waste your time in this movie. If you did not;then rent or buy 2001 and avoid this piece of crap.""INTERSTELLAR"" is a dumb and lazy written cash cow disguised as a philosophical statement. ""INCEPTION"" was the same thing (but less stupid and more entertaining or at least had more action and violence ) Do not be fooled by the concept; there are just one or two interested statements in this movie but taking three hours for that is excessive.The whole things must make sense in Nolan's depressing mind; the world is ending but people is still selfish enough to make matters worse. The movie has zero humor and the positive or hopeful message is as fake as the special effects.In fact; this is a movie about God; but Nolan's refuse to even refer about religion; so the movie is about ""something"" that is never clear and makes absolutely no sense. ***SPOILER AHEAD*** Without saying too much about the first ending (there is a second happy ending to ensure better box office receipts and is even more absurd ) why whoever could create such a device just pass the message and solve the problem ?. ***END OF SPOILER***McConaughey is talk is almost incomprehensible. Anne Hathaway is always good; but his character is under written. Jessica Chastain has to deal a completely absurd and unbelievable and over dramatized situations (and she does not succeed).In brief; do not commit the same error I made. Save your money for a better and more sincere money; this one is just a scam."
" Tepid, at best
",trans_mauro,21 January 2015,
" An attempt at epic story telling that does not quite make it.
",PWNYCNY,20 November 2014,
" Too long, too pretentious, too far-fetch
",rogerdob,11 November 2014,"The movie did not need to be almost three hours long...this was a great example of why it is a bad choice to let a director have the last say over edits, cuts, and length of a film. So many scenes could have been cut.The only interesting part of the film was when the characters finally made it to different planets. However, all the science leading up to the adventure of going to different galaxies seemed to be a lot of mumbo-jumbo...lots of theories and big words to confuse the audience so that we think it could be possible.The last thirty minutes almost was incomprehensible...the explanations of what happened in the earlier part of the film didn't make sense...but because it was explained with a serious voice talking and serious music behind it, people who don't understand quantum physics (which are most of us) will think it does.Plese Hollywood, reign in Christopher Nolen a bit."
" You will love it or hate it
",Robert_Escamilla,5 November 2014,
" Bit too overrated
",rtneu,11 November 2014,"I am sorry but found this movie to be highly over rated. It was high on visual effects but low on the content in terms of script, story and the future of the world basically.I am sure it will grab few awards in these categories.There was a similar hype around Avatar but when I saw Avatar, it had something new to offer. Interstellar doesn't offer anything new as such.If you put the movie Gravity and the movie Frequency together in 5D, wormhole angle, you have Intersetllar.In fact I found Frequency to be highly underrated movie.Acting/Direction is good but wished the script were much more stronger."
" Disappears up its own black hole.
",BA_Harrison,10 November 2014,"As directed by Christopher Nolan, he of the pretentious, derivative, mind-bending crap-fest that was Inception and the vastly over-rated Dark Knight trilogy, I fully expected Interstellar to have plot holes you could pilot a space station through—and, with a whopping running time of 169 minutes, I figured staying awake would be a task almost as gargantuan as the film's black hole (which is actually called Gargantua—that's just how gargantuan it is!!!).Sure enough, the preposterous pseudo-scientific plot can be picked apart with ease, but the film itself is something of an anomaly: although it is a grossly indulgent pile of pretentious hooey that stretches plausibility to breaking point, I found myself entertained throughout. Interstellar is so far up itself that it actually transcends all the laws of cinema and proves to be a rather enjoyable piece of big-budget baloney as a result.For starters, we get Matthew McConaughey's farmer Cooper, who is chosen to pilot NASA's only spacecraft, despite having spent the last decade or so growing corn. Then we get two of science-fiction's most aesthetically awkward robots in the form of A.I. units TARS and CASE. After flying through a worm-hole, Cooper lands his spacecraft in several inches of water and then surfs a massive tidal wave. We see a planet so cold that its clouds are solid ice. We have a mad scientist who rants about the human instinct for survival while head butting Cooper with his space helmet. Although Michael Caine's character spans 23 years, he doesn't look a day older than when we first see him (his voice just gets a bit hoarse, but not Batman hoarse). And Cooper enters a black hole where he ends up behind a 5-dimensional bookcase that allows him to manipulate gravity to send a message to his daughter via wristwatch!!!And that's just the stuff I can recall right now (it's waaay past my bed-time and I'm very tired).If only there had been a few ninjas, some gratuitous female nudity (perhaps a race of insatiable, sexy alien maidens with over-sized breasts), a planet of space zombies, and a laser battle, this would have been the perfect so-bad-it's-good movie.7/10: it's too wonderfully silly for me too hate on it as much as I really should."
" If you are a fan of Christopher Nolan and interested in space, you have to see this movie! 11/10!
",groundzero-273-397110,1 May 2023,"This is probably my favourite movie of all time. Not is it only my favourite movie, it's also the best space movie. I watch it every year in April around my birthday, and this year was no exception. I have seen it eight times now and it is still fantastic. I get chills and I cry every time.The acting is phenomenal, and Matthew McConaughey is one of my favourite actors. The story is well-written and it also raises so many questions about space and our place in it. The pacing is perfect. The movie gets more and more interesting and exciting by every minute, and there are a lot of minutes in this movie, 169 minutes of goosebumps! It has one of the best endings I have ever seen in a movie. It's so emotional. The first time I saw this movie in the theaters, my mind got completely blown away.If you are a fan of Christopher Nolan and interested in space, you have to see this movie! 11/10!"
" Highly Overrated
",bryno92,3 November 2015,
" Many plot-holes but a solid work of sci-fi overall, with some worthy moments
",perica-43151,5 November 2019,
" Multiple Viewings Required!
",WasiReviews,3 August 2020,"This is a film that deals with cliched issues like Global decimation and overpopulation maybe not today but definitely in the foreseeable future. The space travel is the reason I watched the film. I had to watch this film once when it came out a second time immediately after it dropped on Blu Ray and streaming services and I still want to watch it a 3rd and 4th time just to experience the wonderful acting, cinematography and visuals again. Christopher Nolan knocked out of the ballpark definitely not his greatest movie ever but yeah I can see top 5 Inception and Dark Knight are better."
" Overrated & not as good as I thought it was going to be.
",MorpheusOne,24 July 2021,"This movie had such an expansive amount of hype behind it...how could anything go wrong?!(Cue the Blair Witch Project soundtrack...)By no means was this was the worst movie that I have ever seen, that's definitive; there were, however, a few things about the film that don't make much sense! Perhaps the most obvious among them was WTF was Mann trying to accomplish in his apparent death spiral desire to condemn all life on Earth?! He knew that the mathematics behind 'Plan A' was a fraud; so, he...obviously...believed that returning to Earth was no option. This means that it was his understanding that finding a planet suitable for life, from 'an Earth perspective', was the only viable option. Yet, he knew\believed that the ice planet that he landed on was not suitable for life, faking the data. So, why fake the data?? Would doing so enhance the likelihood of him being rescued? Presumably, yes, since he was transmitting the fake favorable data in hopes that someone would arrive & save him. Yet, he prevented them from doing anything on his world...obviously...because he knew they would uncover his deception. So, given that, what was the plan!? To condemn all life on Earth?! Granted, maybe that's the whole point of that story arc; he was insane. Which is, I believe, rather ironic; that 'death spiral', specifically due to the action of that scene, was, I think, the best scene in the entire film.Something overlooked by, at least, virtually everyone that saw this film, no doubt about it, is: Did the scientists on Earth see the blackhole, ""Gargantuan"", on the Earth-side of the wormhole, obviously, 'before' sending the astronauts through the wormhole, including the 12 sent through initially? It is implied that they did; but, ..& someone, please, correct me if I am wrong, ..no where throughout the first hour, or so, of the film did they bother to mention that blackhole that's on the other side of the wormhole, in that 'galaxy far, far away...' They talked about the 'wormhole'; not the blackhole! If they knew about the blackhole early enough, this, reasonably, may have changed their game-plan. Further, why go down to that planet, in orbit around the blackhole, when the risk of failure is so high, let alone actually retrieving data that is worth the risk of going down to that planet is so excruciatingly, 'astronomically' and exponentially low¿? Especially given the reality that said planet is completely inhospitable...given its close proximity to a blackhole¡!¡ For cryin' out loud, they'd be better off sending down a probe, at least at first, on the same quicker trajectory that they took to get to the planet, to determine if the data can be retrieved; & the data could reasonably be retrieved with just a probe, anyway! And if the time dilation makes all of that not viable, then, it is damn sure not worth sending people down there! It is a story arc that, in theory, sounds great 'script-wise'; because, it adds emotional turmoil for the characters to go through & experience &, therefore, tension & drama for the viewer - yet, it just doesn't honestly work. You see this as a person just watching the movie.I actually feel sorry for Getty, from ""That 70's Show""; while the character is not useless, it is a weak character, entirely because of how the character was introduced, & Topher Grace, as an accomplished actor, deserves better than that. It actually made sense for that character to be a doctor working for/at NASA/NORAD, at the compound, perhaps as the physician working directly with Professor Brand...File that under "" *Duh!* ""; seriously, put that into the '"" *Duh!* "" File'!Obviously, this was a much better way to introduce that character. And, obviously, they chose to not do this; they introduced the character in, pretty much, the worst way possible; dropping him in out of no where, like he fell out of the sky - literally, ..as an after-thought! This was an absolute hatchet job and, undeniably, is the worst thing about the entire film. And, of course, there's the gratuitously predictable 'Tom', a character as devoid of a legitimate reason to exist as any such character has ever existed in the history of cinema! I am actually surprised that they didn't make him an addict of some sort; why not just poor on the vulgar borishness like it's pancake syrup!¿?!And, finally, (astronaut) Brand had a much greater chance of getting back to ""Sol""/""Terra"", our Solar System, than Cooper 'the guy who fell into a black hole...'... But, they can't allow the hero to FAIL; so, they have them accomplish the completely impossible. And the 'Tesseract Scene' is awesome; it looks very cool. However, it only made sense in a 'goofy romanticized sort of way', i.e., 'script-wise', that Cooper was 'the ghost' who started it all... And although there may have been no truly good way, at least none that they were able to think of (Although, did they even try!?), to depict it cinematically, I would love to have seen something of the 5th Dimension beings who made it all possible. When Cooper said that 'we' were them, i.e., ""...they're not beings, they're us."", i.e., that humans are the 5th Dimension beings, that's just more romanticized BS.Overall, the worst thing about this movie is the directing, by far! This movie actually made me lose some degree of respect for Christopher Nolan."
